Sample #,Image Type,Query,True Label,Model Response,Correctness Score
Sample 11,Baseline,What's the rightmost value dark brown graph?,47,46,0.9
Sample 11,Black and White,What's the rightmost value dark brown graph?,47,The rightmost value of the dark brown graph is 47.,1.0
Sample 11,Vertically Stretched,What's the rightmost value dark brown graph?,47,The rightmost value of the dark brown graph is 47.,1.0
Sample 11,Horizontally Stretched,What's the rightmost value dark brown graph?,47,The rightmost value of the dark brown graph is 47.,1.0
Sample 11,Squeezed Vertically,What's the rightmost value dark brown graph?,47,47,1.0
Sample 11,Squeezed Horizontally,What's the rightmost value dark brown graph?,47,47,1.0
Sample 11,Downscaled,What's the rightmost value dark brown graph?,47,47,1.0
Sample 11,Upscaled,What's the rightmost value dark brown graph?,47,The rightmost value for the dark brown graph is 47.,1.0
Sample 11,Increased Saturation,What's the rightmost value dark brown graph?,47,50,0.9
Sample 11,Super Increased Saturation,What's the rightmost value dark brown graph?,47,The rightmost value for the dark brown graph is 50.,0.8
Sample 11,Decreased Saturation,What's the rightmost value dark brown graph?,47,50,0.8
Sample 11,Super Decreased Saturation,What's the rightmost value dark brown graph?,47,47,1.0
Sample 11,Increased Brightness,What's the rightmost value dark brown graph?,47,47,1.0
Sample 11,Super Increased Brightness,What's the rightmost value dark brown graph?,47,The rightmost value on the dark brown graph is 47.,1.0
Sample 11,Decreased Brightness,What's the rightmost value dark brown graph?,47,The rightmost value of the dark brown graph is 50.,0.7
Sample 11,Super Decreased Brightness,What's the rightmost value dark brown graph?,47,47,1.0
Sample 11,Increased Contrast,What's the rightmost value dark brown graph?,47,The rightmost value of the dark brown graph is 47%.,1.0
Sample 11,Super Increased Contrast,What's the rightmost value dark brown graph?,47,The rightmost value of the dark brown graph is 50.,0.8
Sample 11,Decreased Contrast,What's the rightmost value dark brown graph?,47,46,0.9
Sample 11,Super Decreased Contrast,What's the rightmost value dark brown graph?,47,The rightmost value of the dark brown graph is 47%.,1.0
Sample 11,Increased Sharpness,What's the rightmost value dark brown graph?,47,47,1.0
Sample 11,Super Increased Sharpness,What's the rightmost value dark brown graph?,47,50,0.9
Sample 11,Decreased Sharpness,What's the rightmost value dark brown graph?,47,The rightmost value of the dark brown graph is 47.,1.0
Sample 11,Super Decreased Sharpness,What's the rightmost value dark brown graph?,47,The rightmost value of the dark brown graph is 47.,1.0
