,Correctness Score,Correctness Score,Correctness Score,Correctness Score,Correctness Score,Correctness Score
,count,mean,median,std,min,max
Image Type,,,,,,
Upscaled,90,0.717,1.0,0.415,0.0,1.0
Increased Saturation,90,0.699,1.0,0.432,0.0,1.0
Super Increased Sharpness,90,0.682,1.0,0.437,0.0,1.0
Vertically Stretched,90,0.673,1.0,0.435,0.0,1.0
Squeezed Horizontally,90,0.666,1.0,0.441,0.0,1.0
Super Increased Saturation,90,0.663,0.9,0.43,0.0,1.0
Horizontally Stretched,90,0.661,1.0,0.444,0.0,1.0
Decreased Sharpness,90,0.658,0.9,0.428,0.0,1.0
Super Decreased Sharpness,90,0.65,1.0,0.438,0.0,1.0
Super Decreased Brightness,90,0.647,0.95,0.444,0.0,1.0
Decreased Brightness,90,0.644,0.9,0.427,0.0,1.0
Baseline,90,0.634,0.9,0.448,0.0,1.0
Increased Sharpness,90,0.63,0.9,0.45,0.0,1.0
Super Sharp and Super Saturated,90,0.622,0.9,0.45,0.0,1.0
Increased Contrast,90,0.62,0.9,0.448,0.0,1.0
Super Increased Contrast,90,0.614,0.9,0.452,0.0,1.0
Decreased Contrast,90,0.603,0.9,0.456,0.0,1.0
Squeezed Vertically,90,0.587,0.7,0.446,0.0,1.0
Decreased Saturation,90,0.572,0.8,0.454,0.0,1.0
Super Decreased Contrast,90,0.546,0.75,0.463,0.0,1.0
Super Decreased Saturation,90,0.529,0.7,0.461,0.0,1.0
Black and White,90,0.506,0.7,0.442,0.0,1.0
Downscaled,90,0.506,0.7,0.472,0.0,1.0
Increased Brightness,90,0.5,0.7,0.462,0.0,1.0
Inverted,90,0.418,0.0,0.454,0.0,1.0
Super Increased Brightness,90,0.414,0.0,0.465,0.0,1.0
