,Query,True Label,Model Response,Correctness Score,Correctness Score,Correctness Score,Unique_Responses,Agreement_Percentage
,first,first,<lambda>,mean,std,median,,
Sample #,,,,,,,,
Sample 100,Is the sum of all the values in 2017 smaller than sum of all the values in 2005?,No,"Yes, the sum of all the values in 2017 (47 + 44 = 91) is smaller than the sum of all the values in 2005 (43 + 52 = 95).",0.192,0.402,0.0,25,7.6923076923076925
Sample 11,What's the rightmost value dark brown graph?,47,47,0.946,0.086,1.0,9,26.923076923076923
Sample 12,How many values of dark brown graph exceed 40?,5,Seven values of the dark brown graph exceed 40.,0.365,0.428,0.0,12,26.923076923076923
Sample 13,Is the largest value of green bar 30?,No,"No, the largest value of the green line is 57.",0.785,0.226,0.8,7,73.07692307692307
Sample 14,Is the sum of highest and lowest value of orange graph greater than 60?,Yes,"Yes, the sum of the highest (49) and lowest (15) values of the orange graph is 64, which is greater than 60.",0.823,0.34,1.0,20,15.384615384615385
Sample 15,What is the color of graph whose lowest value is 35?,Green,Green.,0.769,0.43,1.0,8,61.53846153846154
Sample 16,What's the median value of green graph?,75,The median value of the green graph (Germany favorability in Russia) is 75.,0.565,0.48,0.9,14,26.923076923076923
Sample 17,What's the rightmost value of orange graph?,51,51,0.885,0.326,1.0,4,84.61538461538461
Sample 18,Is the sum of leftmost value of green and smallest value of orange graph greater than 100?,Yes,"Yes, the sum is greater than 100. The leftmost value of the green graph is 60, and the smallest value of the orange graph is 46. Their sum is 106.",0.523,0.497,0.8,20,19.230769230769234
Sample 19,What is the first data in orange line?,41,41%,0.723,0.371,0.9,11,38.46153846153847
Sample 20,Which year the green line cut the orange line from top to down?,2014,2009,0.246,0.415,0.0,18,11.538461538461538
Sample 21,What is the data in Jul 2015 ( all two data)?,"[63, 26]","Approve: 63%
Disapprove: 26%",0.996,0.02,1.0,12,30.76923076923077
Sample 22,What is the average of Approve data?,58,"The average of the ""Approve"" data is 59.",0.812,0.273,0.9,21,15.384615384615385
Sample 23,What's the color of the graph with the 15 as the lowest value?,Blue,Blue.,0.804,0.4,1.0,12,46.15384615384615
Sample 24,What's the the average of all the values below 30?,19,The values below 30 are 23 and 15. The average is \( \frac{23 + 15}{2} = 19 \).,0.954,0.196,1.0,17,19.230769230769234
Sample 25,What's the rightmost value of orange graph?,73,73,0.838,0.343,1.0,6,53.84615384615385
Sample 26,What's the median value of orange graph?,73,The median value of the orange graph is 65.,0.227,0.386,0.0,10,38.46153846153847
Sample 27,What's the percentage of respondents who was upset on changing reactions to a gay child in 2015?,0.39,"In 2015, 39% of respondents were upset.",0.819,0.382,1.0,12,38.46153846153847
Sample 28,In which year the difference between Upset and Not upset graph is maximum?,1985,"The difference between ""Upset"" and ""Not upset"" is maximum in 1985.",0.704,0.383,0.85,7,61.53846153846154
Sample 29,What's the U.S. Hispanic population in 2000 (in millions)?,35.7,35.7 million,0.05,0.177,0.0,2,69.23076923076923
Sample 30,In how many years the U.S. Hispanic population was below 30 millions?,3,"The U.S. Hispanic population was below 30 million for 30 years, from 1970 to 2000.",0.173,0.366,0.0,22,19.230769230769234
Sample 31,In which year the value of orange graph is 36?,2013,2011,0.446,0.452,0.35,12,19.230769230769234
Sample 32,What's the median value of green graph from 2011 to 2015?,61,The median value of the green graph from 2011 to 2015 is 61.,0.577,0.504,1.0,12,38.46153846153847
Sample 33,What's the rightmost value of dark green graph?,15,11,0.835,0.237,1.0,6,34.61538461538461
Sample 34,How many values in light green graph are equal?,2,There are no equal values in the light green graph.,0.354,0.447,0.0,18,11.538461538461538
Sample 35,What's the percentage of Indians who have no confidence in Obama to do the right thing regarding world affairs in 2014?,15,15%,0.723,0.364,0.9,7,73.07692307692307
Sample 36,What's the average of all the values in 2015?,33,The average of all the values in 2015 is \((74 + 17 + 8) / 3 = 33\).,0.946,0.196,1.0,11,34.61538461538461
Sample 37,What's the leftmost value of green graph?,44,The leftmost value of the green graph is 29.,0.262,0.44,0.0,11,34.61538461538461
