Row_ID,Variation,Query,True_Label,Prediction,Is_Correct,Image_Path
row_15136,Baseline,What was the highest number of general practitioners employed in Iceland in 2018?,218,"answer='218' explanation='In 2018, Iceland employed a total of 218 general practitioners, which is the highest number in the data provided for that year.'",True,data/row_15136/Baseline.png
row_15136,Black and White,What was the highest number of general practitioners employed in Iceland in 2018?,218,"answer='218 general practitioners.' explanation='The bar for 2018 indicates that the number of general practitioners employed was 218, which is the highest for that year according to the chart.'",True,data/row_15136/Black_and_White.png
row_15136,Vertically Stretched,What was the highest number of general practitioners employed in Iceland in 2018?,218,"answer='218 general practitioners.' explanation='The graph shows that in 2018, the highest number of general practitioners employed in Iceland was 218.'",True,data/row_15136/Vertically_Stretched.png
row_15136,Horizontally Stretched,What was the highest number of general practitioners employed in Iceland in 2018?,218,"answer='218 general practitioners.' explanation='The highest number of general practitioners employed in Iceland in 2018 was 218, as shown in the graph for that year.'",True,data/row_15136/Horizontally_Stretched.png
row_15136,Squeezed Vertically,What was the highest number of general practitioners employed in Iceland in 2018?,218,"answer='218 general practitioners.' explanation='The bar chart shows that in 2018, there were 218 general practitioners employed in Iceland, which was the highest number recorded for that year.'",True,data/row_15136/Squeezed_Vertically.png
row_15136,Squeezed Horizontally,What was the highest number of general practitioners employed in Iceland in 2018?,218,answer='218' explanation='The chart shows that the highest number of general practitioners employed in Iceland in 2018 was 218.',True,data/row_15136/Squeezed_Horizontally.png
row_15136,Increased Saturation,What was the highest number of general practitioners employed in Iceland in 2018?,218,"answer='218' explanation='In 2018, Iceland employed 218 general practitioners, as shown in the chart.'",True,data/row_15136/Increased_Saturation.png
row_15136,Decreased Saturation,What was the highest number of general practitioners employed in Iceland in 2018?,218,"answer='218' explanation='The graph shows that in 2018, the number of general practitioners employed in Iceland was 218, which is the highest number for that year.'",True,data/row_15136/Decreased_Saturation.png
row_15136,Increased Brightness,What was the highest number of general practitioners employed in Iceland in 2018?,218,answer='191' explanation='The chart shows that the highest number of general practitioners employed in Iceland in 2018 was 191.',False,data/row_15136/Increased_Brightness.png
row_15136,Decreased Brightness,What was the highest number of general practitioners employed in Iceland in 2018?,218,answer='218' explanation='The chart shows the highest number for 2018 is 218 general practitioners employed in Iceland.',True,data/row_15136/Decreased_Brightness.png
row_15136,Increased Contrast,What was the highest number of general practitioners employed in Iceland in 2018?,218,"answer='218 general practitioners.' explanation='In 2018, Iceland employed 218 general practitioners, as seen on the graph at the top of the column for that year.'",True,data/row_15136/Increased_Contrast.png
row_15136,Decreased Contrast,What was the highest number of general practitioners employed in Iceland in 2018?,218,"answer='218' explanation='In 2018, the highest number of general practitioners employed in Iceland was 218.'",True,data/row_15136/Decreased_Contrast.png
row_15136,Increased Sharpness,What was the highest number of general practitioners employed in Iceland in 2018?,218,"answer='218 general practitioners.' explanation='In 2018, the highest number of general practitioners employed in Iceland was 218, as shown by the bar chart data for that year.'",True,data/row_15136/Increased_Sharpness.png
row_15136,Decreased Sharpness,What was the highest number of general practitioners employed in Iceland in 2018?,218,"answer='218' explanation='In 2018, the highest number of general practitioners employed in Iceland was 218, as illustrated in the graph.'",True,data/row_15136/Decreased_Sharpness.png
row_15136,Adaptive Threshold,What was the highest number of general practitioners employed in Iceland in 2018?,218,"answer='218' explanation='In 2018, the number of general practitioners employed in Iceland reached its highest at 218, according to the chart provided.'",True,data/row_15136/Adaptive_Threshold.png
row_15136,Selective Blur,What was the highest number of general practitioners employed in Iceland in 2018?,218,answer='218 general practitioners.' explanation='The graph shows a count of 218 general practitioners employed in Iceland for the year 2018.',True,data/row_15136/Selective_Blur.png
row_15136,Highlighted Intersections,What was the highest number of general practitioners employed in Iceland in 2018?,218,"answer='218' explanation='In 2018, the highest number of general practitioners employed in Iceland was 218.'",True,data/row_15136/Highlighted_Intersections.png
row_15136,Dominant Colors,What was the highest number of general practitioners employed in Iceland in 2018?,218,answer='218 general practitioners.' explanation='The graph shows the peak number of general practitioners in Iceland in 2018 as 218.',True,data/row_15136/Dominant_Colors.png
row_15136,Quantized Colors,What was the highest number of general practitioners employed in Iceland in 2018?,218,answer='218' explanation='The chart shows that the highest number of general practitioners employed in Iceland in 2018 was 218.',True,data/row_15136/Quantized_Colors.png
row_15136,Padded,What was the highest number of general practitioners employed in Iceland in 2018?,218,"answer='218' explanation='In 2018, there were 218 general practitioners employed in Iceland, as indicated by the data chart provided.'",True,data/row_15136/Padded.png
